Lag,ACF,PACF
0,1.0,1.0
1,0.8927003490221904,0.9075786881725599
2,0.7246452301499141,-0.42251394926237273
3,0.632643880679589,0.5632168699846808
4,0.5803709575186771,-0.4660686937036064
5,0.4863699808915131,0.07323577018777076
6,0.30023806245045165,-1.0308792820715793
7,0.10129815319245475,-15.181470624753642
8,-0.03473226400252898,0.9237277282504021
9,-0.12655927288687333,-0.6482299803782345
10,-0.24341674951775455,0.15856616875302917
11,-0.42033823168721,-0.859347882395173
12,-0.5465872590791608,2.0480835533758333
13,-0.5602710416183615,1.4626389402540774
14,-0.5447669562101402,-0.7125525159373448
15,-0.5571531551394722,0.8123782154136502
16,-0.5896002246366865,-1.8429321178295408
17,-0.5814721105179573,-1.8743412611655001
18,-0.5060961324186337,0.5732753371020205
19,-0.4153961144626849,-0.7788868026716385
20,-0.34169420689456137,0.8938903468575901
21,-0.27648399808465246,-4.987246658111725
22,-0.19700883827065027,-0.9481251383699025
23,-0.10213181464547354,0.8019243230050471
24,-0.025210542299913905,-8.626268790060758
25,0.03752628015295497,-1.0055263713425575
26,0.09200333109361951,20.46507778703156
27,0.13725520661777746,0.9862622713714788
28,0.17984052133558615,-1.3191806399431911
29,0.20315300934773672,-3.2653415828717898
