Lag,ACF,PACF
0,1.0,1.0
1,0.9948695248259567,0.9954015406146337
2,0.9900584870490928,0.032009578656664074
3,0.9850131375264337,-0.02708414181002893
4,0.9799711713863903,-0.004157658319361004
5,0.9749271409283261,-0.0024595140929522283
6,0.9701258968575922,0.023791922781632984
7,0.9653361588959859,0.0003462290156891906
8,0.9601140818460624,-0.051327330411617335
9,0.9546316619047358,-0.03502245555616431
10,0.9488584754533181,-0.03478783611980003
11,0.9428221319197418,-0.03222605118026646
12,0.9390020990984956,0.24129622057011604
13,0.934614840457336,-0.05259290845729891
14,0.9303370213795907,-0.009016129208099187
15,0.9261601530224745,0.011415974120920932
16,0.9217285439642762,-0.033083579156571855
17,0.916943669954473,-0.02660611768820071
18,0.9121160908103838,-0.0033543666240538777
19,0.9075132768090169,0.0027526817203153073
20,0.9029058179188507,-0.008769579952085969
21,0.8981542295336871,-0.035897418589567624
22,0.8928922668587493,-0.07634534373159847
23,0.8879191473330789,0.09771209245295122
24,0.883099996821092,-0.0021270673765225946
25,0.8778258215477762,-0.052006145858010014
26,0.872472254148585,-0.005424011868509391
27,0.8669817173360309,-0.03828472305840878
28,0.861463435855982,-0.0158537797100294
29,0.8556478311733254,-0.02450061993435644
30,0.8499672958635363,0.01697774132061949
31,0.8443206439744202,0.0021433096755099665
32,0.8385336781843119,-0.030808402363343253
33,0.8326558653392007,-0.048479569237319324
34,0.826753346678268,0.04086092417326571
35,0.8208977544272009,0.007069981176983531
36,0.8147831220549461,-0.0576686979800527
37,0.8084673815156375,-0.017472201334686684
38,0.8018861892663502,-0.04750989741857556
39,0.7954987452268867,0.013372608248621801
40,0.7894091730410453,0.025784621629664013
